id;nom;description
1;Fiction;"default description"
2;Political Science;"default description"
3;Language Arts & Disciplines;"default description"
4;Philosophy;"default description"
5;Biography & Autobiography;"default description"
6;History;"default description"
7;Comics & Graphic Novels;"default description"
8;Religion;"default description"
9;Architecture;"default description"
10;Social Science;"default description"
11;Education;"default description"
12;Performing Arts;"default description"
13;Literary Criticism;"default description"
14;Juvenile Fiction;"default description"
15;Law;"default description"
16;Medical;"default description"
17;Citizenship;"default description"
18;Psychology;"default description"
19;Literary Collections;"default description"
20;Poetry;"default description"
21;Foreign Language Study;"default description"
22;Science;"default description"
23;Body, Mind & Spirit;"default description"
24;Art;"default description"
25;Humor;"default description"
26;Travel;"default description"
27;Reference;"default description"
28;Nature;"default description"
29;Ecotourism;"default description"
30;Technology & Engineering;"default description"
31;Sports & Recreation;"default description"
32;Young Adult Nonfiction;"default description"
33;Family & Relationships;"default description"
34;Games & Activities;"default description"
35;Self-Help;"default description"
36;Juvenile Nonfiction;"default description"
37;Computers;"default description"
38;Business & Economics;"default description"
39;Cooking;"default description"
40;Health & Fitness;"default description"
41;Crafts & Hobbies;"default description"
42;Africa;"default description"
43;Women, Kabyle;"default description"
44;Economic development;"default description"
45;Tunisia;"default description"
46;Oral tradition;"default description"
47;House & Home;"default description"
48;Mathematics;"default description"
49;Bibles;"default description"
50;Music;"default description"
51;Study Aids;"default description"
52;Drama;"default description"
